Card,Review,Review_cleaned,card_type,Review_tokenized,Review_no_stop,Review_lemmatized,sentiment
Citi PremierMiles Visa Card,"[Fee Waivers]
Annual fee waiver was almost automatic.

[Miles Card]
I personally use this card for rent (using Citi payall) and big purchases only (day to day I use DBS cards for multiplier). I like that the miles do not expire, as I currently do not spend enough to be able to accumulate worthy-enough miles for travel within 2-3 years. Citi also has more miles transfer partners than the other banks so that's a plus for me.",fee waivers annual fee waiver was almost automatic  miles card i personally use this card for rent using citi payall and big purchases only day to day i use dbs cards for multiplier i like that the miles do not expire as i currently do not spend enough to be able to accumulate worthyenough miles for travel within 23 years citi also has more miles transfer partners than the other banks so thats a plus for me,Air Miles,"['fee', 'waivers', 'annual', 'fee', 'waiver', 'was', 'almost', 'automatic', 'miles', 'card', 'i', 'personally', 'use', 'this', 'card', 'for', 'rent', 'using', 'citi', 'payall', 'and', 'big', 'purchases', 'only', 'day', 'to', 'day', 'i', 'use', 'dbs', 'cards', 'for', 'multiplier', 'i', 'like', 'that', 'the', 'miles', 'do', 'not', 'expire', 'as', 'i', 'currently', 'do', 'not', 'spend', 'enough', 'to', 'be', 'able', 'to', 'accumulate', 'worthyenough', 'miles', 'for', 'travel', 'within', '23', 'years', 'citi', 'also', 'has', 'more', 'miles', 'transfer', 'partners', 'than', 'the', 'other', 'banks', 'so', 'thats', 'a', 'plus', 'for', 'me']","['fee', 'waivers', 'annual', 'fee', 'waiver', 'almost', 'automatic', 'miles', 'card', 'personally', 'use', 'card', 'rent', 'using', 'citi', 'payall', 'big', 'purchases', 'day', 'day', 'use', 'dbs', 'cards', 'multiplier', 'like', 'miles', 'expire', 'currently', 'spend', 'enough', 'able', 'accumulate', 'worthyenough', 'miles', 'travel', 'within', '23', 'years', 'citi', 'also', 'miles', 'transfer', 'partners', 'banks', 'thats', 'plus']","['fee', 'waiver', 'annual', 'fee', 'waiver', 'almost', 'automatic', 'mile', 'card', 'personally', 'use', 'card', 'rent', 'using', 'citi', 'payall', 'big', 'purchase', 'day', 'day', 'use', 'db', 'card', 'multiplier', 'like', 'mile', 'expire', 'currently', 'spend', 'enough', 'able', 'accumulate', 'worthyenough', 'mile', 'travel', 'within', '23', 'year', 'citi', 'also', 'mile', 'transfer', 'partner', 'bank', 'thats', 'plus']",3
Citi PremierMiles Visa Card,"Although the fee waiver could actually be done over the phone (without talking to customer service), I faced some issues with mine. However, the customer service managed it quickly and was able to get my annual fee waiver",although the fee waiver could actually be done over the phone without talking to customer service i faced some issues with mine however the customer service managed it quickly and was able to get my annual fee waiver,Air Miles,"['although', 'the', 'fee', 'waiver', 'could', 'actually', 'be', 'done', 'over', 'the', 'phone', 'without', 'talking', 'to', 'customer', 'service', 'i', 'faced', 'some', 'issues', 'with', 'mine', 'however', 'the', 'customer', 'service', 'managed', 'it', 'quickly', 'and', 'was', 'able', 'to', 'get', 'my', 'annual', 'fee', 'waiver']","['although', 'fee', 'waiver', 'could', 'actually', 'done', 'phone', 'without', 'talking', 'customer', 'service', 'faced', 'issues', 'mine', 'however', 'customer', 'service', 'managed', 'quickly', 'able', 'get', 'annual', 'fee', 'waiver']","['although', 'fee', 'waiver', 'could', 'actually', 'done', 'phone', 'without', 'talking', 'customer', 'service', 'faced', 'issue', 'mine', 'however', 'customer', 'service', 'managed', 'quickly', 'able', 'get', 'annual', 'fee', 'waiver']",3
Citi PremierMiles Visa Card,This is a good credit card for overseas travelling. No issues were encountered when I used it overseas. Its miles do not expire and it comes with 2 priority pass lounge visits per year which are useful when you need a place to rest and have meals!,this is a good credit card for overseas travelling no issues were encountered when i used it overseas its miles do not expire and it comes with 2 priority pass lounge visits per year which are useful when you need a place to rest and have meals,Air Miles,"['this', 'is', 'a', 'good', 'credit', 'card', 'for', 'overseas', 'travelling', 'no', 'issues', 'were', 'encountered', 'when', 'i', 'used', 'it', 'overseas', 'its', 'miles', 'do', 'not', 'expire', 'and', 'it', 'comes', 'with', '2', 'priority', 'pass', 'lounge', 'visits', 'per', 'year', 'which', 'are', 'useful', 'when', 'you', 'need', 'a', 'place', 'to', 'rest', 'and', 'have', 'meals']","['good', 'credit', 'card', 'overseas', 'travelling', 'issues', 'encountered', 'used', 'overseas', 'miles', 'expire', 'comes', '2', 'priority', 'pass', 'lounge', 'visits', 'per', 'year', 'useful', 'need', 'place', 'rest', 'meals']","['good', 'credit', 'card', 'overseas', 'travelling', 'issue', 'encountered', 'used', 'overseas', 'mile', 'expire', 'come', '2', 'priority', 'pas', 'lounge', 'visit', 'per', 'year', 'useful', 'need', 'place', 'rest', 'meal']",4
Citi PremierMiles Visa Card,Good promotions and very easy to access my rewards whenever I need and the miles system is easy to use,good promotions and very easy to access my rewards whenever i need and the miles system is easy to use,Air Miles,"['good', 'promotions', 'and', 'very', 'easy', 'to', 'access', 'my', 'rewards', 'whenever', 'i', 'need', 'and', 'the', 'miles', 'system', 'is', 'easy', 'to', 'use']","['good', 'promotions', 'easy', 'access', 'rewards', 'whenever', 'need', 'miles', 'system', 'easy', 'use']","['good', 'promotion', 'easy', 'access', 'reward', 'whenever', 'need', 'mile', 'system', 'easy', 'use']",5
Citi PremierMiles Visa Card,"[Promotions and Perks]
Miles never expires. They have an attainable ~$150 cashback sign up bonus when you spend $1200 on your card in 30 days (you'll need to apply for the Cashback and Ready Credit Card as well to enjoy this promotion)

[Customer Service]
Very efficient when it comes to fraud cases. They have an express 24/7 hotline to attend to fr... (more)",promotions and perks miles never expires they have an attainable 150 cashback sign up bonus when you spend 1200 on your card in 30 days youll need to apply for the cashback and ready credit card as well to enjoy this promotion  customer service very efficient when it comes to fraud cases they have an express 247 hotline to attend to fr more,Air Miles,"['promotions', 'and', 'perks', 'miles', 'never', 'expires', 'they', 'have', 'an', 'attainable', '150', 'cashback', 'sign', 'up', 'bonus', 'when', 'you', 'spend', '1200', 'on', 'your', 'card', 'in', '30', 'days', 'youll', 'need', 'to', 'apply', 'for', 'the', 'cashback', 'and', 'ready', 'credit', 'card', 'as', 'well', 'to', 'enjoy', 'this', 'promotion', 'customer', 'service', 'very', 'efficient', 'when', 'it', 'comes', 'to', 'fraud', 'cases', 'they', 'have', 'an', 'express', '247', 'hotline', 'to', 'attend', 'to', 'fr', 'more']","['promotions', 'perks', 'miles', 'never', 'expires', 'attainable', '150', 'cashback', 'sign', 'bonus', 'spend', '1200', 'card', '30', 'days', 'youll', 'need', 'apply', 'cashback', 'ready', 'credit', 'card', 'well', 'enjoy', 'promotion', 'customer', 'service', 'efficient', 'comes', 'fraud', 'cases', 'express', '247', 'hotline', 'attend', 'fr']","['promotion', 'perk', 'mile', 'never', 'expires', 'attainable', '150', 'cashback', 'sign', 'bonus', 'spend', '1200', 'card', '30', 'day', 'youll', 'need', 'apply', 'cashback', 'ready', 'credit', 'card', 'well', 'enjoy', 'promotion', 'customer', 'service', 'efficient', 'come', 'fraud', 'case', 'express', '247', 'hotline', 'attend', 'fr']",5
Citi PremierMiles Visa Card,"I’d say this is the best miles card which allows for an easy annual fee waiver. 

1. Multiple airline partners 
2. Miles don’t expire
3. Annual fee waiver - just that you need to call them, but the agent picks up the call quite quickly so it’s not too much of a hassle. The waiver is quite fast too",i’d say this is the best miles card which allows for an easy annual fee waiver   1 multiple airline partners  2 miles don’t expire 3 annual fee waiver  just that you need to call them but the agent picks up the call quite quickly so it’s not too much of a hassle the waiver is quite fast too,Air Miles,"['i', 'd', 'say', 'this', 'is', 'the', 'best', 'miles', 'card', 'which', 'allows', 'for', 'an', 'easy', 'annual', 'fee', 'waiver', '1', 'multiple', 'airline', 'partners', '2', 'miles', 'don', 't', 'expire', '3', 'annual', 'fee', 'waiver', 'just', 'that', 'you', 'need', 'to', 'call', 'them', 'but', 'the', 'agent', 'picks', 'up', 'the', 'call', 'quite', 'quickly', 'so', 'it', 's', 'not', 'too', 'much', 'of', 'a', 'hassle', 'the', 'waiver', 'is', 'quite', 'fast', 'too']","['say', 'best', 'miles', 'card', 'allows', 'easy', 'annual', 'fee', 'waiver', '1', 'multiple', 'airline', 'partners', '2', 'miles', 'expire', '3', 'annual', 'fee', 'waiver', 'need', 'call', 'agent', 'picks', 'call', 'quite', 'quickly', 'much', 'hassle', 'waiver', 'quite', 'fast']","['say', 'best', 'mile', 'card', 'allows', 'easy', 'annual', 'fee', 'waiver', '1', 'multiple', 'airline', 'partner', '2', 'mile', 'expire', '3', 'annual', 'fee', 'waiver', 'need', 'call', 'agent', 'pick', 'call', 'quite', 'quickly', 'much', 'hassle', 'waiver', 'quite', 'fast']",5
Citi PremierMiles Visa Card,"[Useful For...]
Lounge access, miles that don't expired, collecting miles without tracking categories, free travel insurance",useful for lounge access miles that dont expired collecting miles without tracking categories free travel insurance,Air Miles,"['useful', 'for', 'lounge', 'access', 'miles', 'that', 'dont', 'expired', 'collecting', 'miles', 'without', 'tracking', 'categories', 'free', 'travel', 'insurance']","['useful', 'lounge', 'access', 'miles', 'dont', 'expired', 'collecting', 'miles', 'without', 'tracking', 'categories', 'free', 'travel', 'insurance']","['useful', 'lounge', 'access', 'mile', 'dont', 'expired', 'collecting', 'mile', 'without', 'tracking', 'category', 'free', 'travel', 'insurance']",4
Citi PremierMiles Visa Card,"Great miles card, hassle free, 1.2 miles for $1 on all local transactions and 2 miles for foreign transactions. Not much hidden t&c and the complimentary priority pass airport lounge access is great :)",great miles card hassle free 12 miles for 1 on all local transactions and 2 miles for foreign transactions not much hidden tc and the complimentary priority pass airport lounge access is great ,Air Miles,"['great', 'miles', 'card', 'hassle', 'free', '12', 'miles', 'for', '1', 'on', 'all', 'local', 'transactions', 'and', '2', 'miles', 'for', 'foreign', 'transactions', 'not', 'much', 'hidden', 'tc', 'and', 'the', 'complimentary', 'priority', 'pass', 'airport', 'lounge', 'access', 'is', 'great', '']","['great', 'miles', 'card', 'hassle', 'free', '12', 'miles', '1', 'local', 'transactions', '2', 'miles', 'foreign', 'transactions', 'much', 'hidden', 'tc', 'complimentary', 'priority', 'pass', 'airport', 'lounge', 'access', 'great', '']","['great', 'mile', 'card', 'hassle', 'free', '12', 'mile', '1', 'local', 'transaction', '2', 'mile', 'foreign', 'transaction', 'much', 'hidden', 'tc', 'complimentary', 'priority', 'pas', 'airport', 'lounge', 'access', 'great', '']",5
Citi PremierMiles Visa Card,Card can be used to clock mileage.Redemption can be done easily without hassle..  Customer service staff are very helpful,card can be used to clock mileageredemption can be done easily without hassle  customer service staff are very helpful,Air Miles,"['card', 'can', 'be', 'used', 'to', 'clock', 'mileageredemption', 'can', 'be', 'done', 'easily', 'without', 'hassle', 'customer', 'service', 'staff', 'are', 'very', 'helpful']","['card', 'used', 'clock', 'mileageredemption', 'done', 'easily', 'without', 'hassle', 'customer', 'service', 'staff', 'helpful']","['card', 'used', 'clock', 'mileageredemption', 'done', 'easily', 'without', 'hassle', 'customer', 'service', 'staff', 'helpful']",5
Citi PremierMiles Visa Card,"After much comparison of the different card in the market, this card is one of the best card. Miles point doesn’t expire and 2 VIP airport lounge access!",after much comparison of the different card in the market this card is one of the best card miles point doesn’t expire and 2 vip airport lounge access,Air Miles,"['after', 'much', 'comparison', 'of', 'the', 'different', 'card', 'in', 'the', 'market', 'this', 'card', 'is', 'one', 'of', 'the', 'best', 'card', 'miles', 'point', 'doesn', 't', 'expire', 'and', '2', 'vip', 'airport', 'lounge', 'access']","['much', 'comparison', 'different', 'card', 'market', 'card', 'one', 'best', 'card', 'miles', 'point', 'expire', '2', 'vip', 'airport', 'lounge', 'access']","['much', 'comparison', 'different', 'card', 'market', 'card', 'one', 'best', 'card', 'mile', 'point', 'expire', '2', 'vip', 'airport', 'lounge', 'access']",5
