Card,Review,Review_cleaned,card_type,Review_tokenized,Review_no_stop,Review_lemmatized,sentiment
UOB One Card,"I have had my own story of crypto scams due to referrals from some site, I lost a lot of money and i was still told to send more money to unlock my account because my balance was non-spendable or something else. Sadly i couldn’t count on the police so i reached out to a and luckily for me, I bsbforensic. c o m was able to get my money back. They showed me how every bitcoin transaction is traceable. Your crypto first goes to the scam wallet, from there the bitcoins will travel through some proxy wallets to cover the tracks. But, every single transaction is recorded in block chain. So your bitcoins can be traced to endpoint, which is some bitcoin exchange market. Where they are exchanged for real money. And then the exchanges in questions will have records of who received the money and how they received it. Contact them if you’ve similar issues, You’ll be grateful that you did",i have had my own story of crypto scams due to referrals from some site i lost a lot of money and i was still told to send more money to unlock my account because my balance was nonspendable or something else sadly i couldn’t count on the police so i reached out to a and luckily for me i bsbforensic c o m was able to get my money back they showed me how every bitcoin transaction is traceable your crypto first goes to the scam wallet from there the bitcoins will travel through some proxy wallets to cover the tracks but every single transaction is recorded in block chain so your bitcoins can be traced to endpoint which is some bitcoin exchange market where they are exchanged for real money and then the exchanges in questions will have records of who received the money and how they received it contact them if you’ve similar issues you’ll be grateful that you did,Cashback,"['i', 'have', 'had', 'my', 'own', 'story', 'of', 'crypto', 'scams', 'due', 'to', 'referrals', 'from', 'some', 'site', 'i', 'lost', 'a', 'lot', 'of', 'money', 'and', 'i', 'was', 'still', 'told', 'to', 'send', 'more', 'money', 'to', 'unlock', 'my', 'account', 'because', 'my', 'balance', 'was', 'nonspendable', 'or', 'something', 'else', 'sadly', 'i', 'couldn', 't', 'count', 'on', 'the', 'police', 'so', 'i', 'reached', 'out', 'to', 'a', 'and', 'luckily', 'for', 'me', 'i', 'bsbforensic', 'c', 'o', 'm', 'was', 'able', 'to', 'get', 'my', 'money', 'back', 'they', 'showed', 'me', 'how', 'every', 'bitcoin', 'transaction', 'is', 'traceable', 'your', 'crypto', 'first', 'goes', 'to', 'the', 'scam', 'wallet', 'from', 'there', 'the', 'bitcoins', 'will', 'travel', 'through', 'some', 'proxy', 'wallets', 'to', 'cover', 'the', 'tracks', 'but', 'every', 'single', 'transaction', 'is', 'recorded', 'in', 'block', 'chain', 'so', 'your', 'bitcoins', 'can', 'be', 'traced', 'to', 'endpoint', 'which', 'is', 'some', 'bitcoin', 'exchange', 'market', 'where', 'they', 'are', 'exchanged', 'for', 'real', 'money', 'and', 'then', 'the', 'exchanges', 'in', 'questions', 'will', 'have', 'records', 'of', 'who', 'received', 'the', 'money', 'and', 'how', 'they', 'received', 'it', 'contact', 'them', 'if', 'you', 've', 'similar', 'issues', 'you', 'll', 'be', 'grateful', 'that', 'you', 'did']","['story', 'crypto', 'scams', 'due', 'referrals', 'site', 'lost', 'lot', 'money', 'still', 'told', 'send', 'money', 'unlock', 'account', 'balance', 'nonspendable', 'something', 'else', 'sadly', 'count', 'police', 'reached', 'luckily', 'bsbforensic', 'c', 'able', 'get', 'money', 'back', 'showed', 'every', 'bitcoin', 'transaction', 'traceable', 'crypto', 'first', 'goes', 'scam', 'wallet', 'bitcoins', 'travel', 'proxy', 'wallets', 'cover', 'tracks', 'every', 'single', 'transaction', 'recorded', 'block', 'chain', 'bitcoins', 'traced', 'endpoint', 'bitcoin', 'exchange', 'market', 'exchanged', 'real', 'money', 'exchanges', 'questions', 'records', 'received', 'money', 'received', 'contact', 'similar', 'issues', 'grateful']","['story', 'crypto', 'scam', 'due', 'referral', 'site', 'lost', 'lot', 'money', 'still', 'told', 'send', 'money', 'unlock', 'account', 'balance', 'nonspendable', 'something', 'else', 'sadly', 'count', 'police', 'reached', 'luckily', 'bsbforensic', 'c', 'able', 'get', 'money', 'back', 'showed', 'every', 'bitcoin', 'transaction', 'traceable', 'crypto', 'first', 'go', 'scam', 'wallet', 'bitcoins', 'travel', 'proxy', 'wallet', 'cover', 'track', 'every', 'single', 'transaction', 'recorded', 'block', 'chain', 'bitcoins', 'traced', 'endpoint', 'bitcoin', 'exchange', 'market', 'exchanged', 'real', 'money', 'exchange', 'question', 'record', 'received', 'money', 'received', 'contact', 'similar', 'issue', 'grateful']",1
UOB One Card,"Good credit card to provide higher interest rates for your UOB ONE savings account (overall 3-4% depending on tier). But need to be more attentive as cashback is calculated quarterly and might miss out on both cashback and UOB interest if you are just trying to hit tier 1 cashback ($500/month). Great customer support, especially love using their UOB chat assist.",good credit card to provide higher interest rates for your uob one savings account overall 34 depending on tier but need to be more attentive as cashback is calculated quarterly and might miss out on both cashback and uob interest if you are just trying to hit tier 1 cashback 500month great customer support especially love using their uob chat assist,Cashback,"['good', 'credit', 'card', 'to', 'provide', 'higher', 'interest', 'rates', 'for', 'your', 'uob', 'one', 'savings', 'account', 'overall', '34', 'depending', 'on', 'tier', 'but', 'need', 'to', 'be', 'more', 'attentive', 'as', 'cashback', 'is', 'calculated', 'quarterly', 'and', 'might', 'miss', 'out', 'on', 'both', 'cashback', 'and', 'uob', 'interest', 'if', 'you', 'are', 'just', 'trying', 'to', 'hit', 'tier', '1', 'cashback', '500month', 'great', 'customer', 'support', 'especially', 'love', 'using', 'their', 'uob', 'chat', 'assist']","['good', 'credit', 'card', 'provide', 'higher', 'interest', 'rates', 'uob', 'one', 'savings', 'account', 'overall', '34', 'depending', 'tier', 'need', 'attentive', 'cashback', 'calculated', 'quarterly', 'might', 'miss', 'cashback', 'uob', 'interest', 'trying', 'hit', 'tier', '1', 'cashback', '500month', 'great', 'customer', 'support', 'especially', 'love', 'using', 'uob', 'chat', 'assist']","['good', 'credit', 'card', 'provide', 'higher', 'interest', 'rate', 'uob', 'one', 'saving', 'account', 'overall', '34', 'depending', 'tier', 'need', 'attentive', 'cashback', 'calculated', 'quarterly', 'might', 'miss', 'cashback', 'uob', 'interest', 'trying', 'hit', 'tier', '1', 'cashback', '500month', 'great', 'customer', 'support', 'especially', 'love', 'using', 'uob', 'chat', 'assist']",4
UOB One Card,"Applied for this card years back along with one account online after comparing various options and approval was quick.
With the recent interest rate revision, still pretty much the best card to use with cash back earned. And pretty easy to hit the criteria for cashback. Customer service is easily reachable and great for query or any issues.",applied for this card years back along with one account online after comparing various options and approval was quick with the recent interest rate revision still pretty much the best card to use with cash back earned and pretty easy to hit the criteria for cashback customer service is easily reachable and great for query or any issues,Cashback,"['applied', 'for', 'this', 'card', 'years', 'back', 'along', 'with', 'one', 'account', 'online', 'after', 'comparing', 'various', 'options', 'and', 'approval', 'was', 'quick', 'with', 'the', 'recent', 'interest', 'rate', 'revision', 'still', 'pretty', 'much', 'the', 'best', 'card', 'to', 'use', 'with', 'cash', 'back', 'earned', 'and', 'pretty', 'easy', 'to', 'hit', 'the', 'criteria', 'for', 'cashback', 'customer', 'service', 'is', 'easily', 'reachable', 'and', 'great', 'for', 'query', 'or', 'any', 'issues']","['applied', 'card', 'years', 'back', 'along', 'one', 'account', 'online', 'comparing', 'various', 'options', 'approval', 'quick', 'recent', 'interest', 'rate', 'revision', 'still', 'pretty', 'much', 'best', 'card', 'use', 'cash', 'back', 'earned', 'pretty', 'easy', 'hit', 'criteria', 'cashback', 'customer', 'service', 'easily', 'reachable', 'great', 'query', 'issues']","['applied', 'card', 'year', 'back', 'along', 'one', 'account', 'online', 'comparing', 'various', 'option', 'approval', 'quick', 'recent', 'interest', 'rate', 'revision', 'still', 'pretty', 'much', 'best', 'card', 'use', 'cash', 'back', 'earned', 'pretty', 'easy', 'hit', 'criterion', 'cashback', 'customer', 'service', 'easily', 'reachable', 'great', 'query', 'issue']",5
UOB One Card,"Pair up this card with the UOB ONE Savings account to maximize the cashback and interest rate into the savings account. The card requires a minimum spending amount of $500, $1000 or $2000 within a specified period. The card is worth it if you could hit the minimum spend of $500 and crediting your salary (at least $1600) to the UOB ONE savings Account. This would give you a very high interest rate in your bank account, which is quite a relatively easy task to do. Use this card on your daily expenditure, transport and online shopping to help you achieve the goal of $500 minimum spend easily.",pair up this card with the uob one savings account to maximize the cashback and interest rate into the savings account the card requires a minimum spending amount of 500 1000 or 2000 within a specified period the card is worth it if you could hit the minimum spend of 500 and crediting your salary at least 1600 to the uob one savings account this would give you a very high interest rate in your bank account which is quite a relatively easy task to do use this card on your daily expenditure transport and online shopping to help you achieve the goal of 500 minimum spend easily,Cashback,"['pair', 'up', 'this', 'card', 'with', 'the', 'uob', 'one', 'savings', 'account', 'to', 'maximize', 'the', 'cashback', 'and', 'interest', 'rate', 'into', 'the', 'savings', 'account', 'the', 'card', 'requires', 'a', 'minimum', 'spending', 'amount', 'of', '500', '1000', 'or', '2000', 'within', 'a', 'specified', 'period', 'the', 'card', 'is', 'worth', 'it', 'if', 'you', 'could', 'hit', 'the', 'minimum', 'spend', 'of', '500', 'and', 'crediting', 'your', 'salary', 'at', 'least', '1600', 'to', 'the', 'uob', 'one', 'savings', 'account', 'this', 'would', 'give', 'you', 'a', 'very', 'high', 'interest', 'rate', 'in', 'your', 'bank', 'account', 'which', 'is', 'quite', 'a', 'relatively', 'easy', 'task', 'to', 'do', 'use', 'this', 'card', 'on', 'your', 'daily', 'expenditure', 'transport', 'and', 'online', 'shopping', 'to', 'help', 'you', 'achieve', 'the', 'goal', 'of', '500', 'minimum', 'spend', 'easily']","['pair', 'card', 'uob', 'one', 'savings', 'account', 'maximize', 'cashback', 'interest', 'rate', 'savings', 'account', 'card', 'requires', 'minimum', 'spending', 'amount', '500', '1000', '2000', 'within', 'specified', 'period', 'card', 'worth', 'could', 'hit', 'minimum', 'spend', '500', 'crediting', 'salary', 'least', '1600', 'uob', 'one', 'savings', 'account', 'would', 'give', 'high', 'interest', 'rate', 'bank', 'account', 'quite', 'relatively', 'easy', 'task', 'use', 'card', 'daily', 'expenditure', 'transport', 'online', 'shopping', 'help', 'achieve', 'goal', '500', 'minimum', 'spend', 'easily']","['pair', 'card', 'uob', 'one', 'saving', 'account', 'maximize', 'cashback', 'interest', 'rate', 'saving', 'account', 'card', 'requires', 'minimum', 'spending', 'amount', '500', '1000', '2000', 'within', 'specified', 'period', 'card', 'worth', 'could', 'hit', 'minimum', 'spend', '500', 'crediting', 'salary', 'least', '1600', 'uob', 'one', 'saving', 'account', 'would', 'give', 'high', 'interest', 'rate', 'bank', 'account', 'quite', 'relatively', 'easy', 'task', 'use', 'card', 'daily', 'expenditure', 'transport', 'online', 'shopping', 'help', 'achieve', 'goal', '500', 'minimum', 'spend', 'easily']",4
UOB One Card,"The longest CC I have. It is a great card to use, just use a min of 2k per month in order to get the highest rebate. Coupled with UOB One account, this is a good card to have.",the longest cc i have it is a great card to use just use a min of 2k per month in order to get the highest rebate coupled with uob one account this is a good card to have,Cashback,"['the', 'longest', 'cc', 'i', 'have', 'it', 'is', 'a', 'great', 'card', 'to', 'use', 'just', 'use', 'a', 'min', 'of', '2k', 'per', 'month', 'in', 'order', 'to', 'get', 'the', 'highest', 'rebate', 'coupled', 'with', 'uob', 'one', 'account', 'this', 'is', 'a', 'good', 'card', 'to', 'have']","['longest', 'cc', 'great', 'card', 'use', 'use', 'min', '2k', 'per', 'month', 'order', 'get', 'highest', 'rebate', 'coupled', 'uob', 'one', 'account', 'good', 'card']","['longest', 'cc', 'great', 'card', 'use', 'use', 'min', '2k', 'per', 'month', 'order', 'get', 'highest', 'rebate', 'coupled', 'uob', 'one', 'account', 'good', 'card']",5
UOB One Card,My to go card... mainly i used this card to get rebate for shopee purchases. Fee waiver is no a problem.,my to go card mainly i used this card to get rebate for shopee purchases fee waiver is no a problem,Cashback,"['my', 'to', 'go', 'card', 'mainly', 'i', 'used', 'this', 'card', 'to', 'get', 'rebate', 'for', 'shopee', 'purchases', 'fee', 'waiver', 'is', 'no', 'a', 'problem']","['go', 'card', 'mainly', 'used', 'card', 'get', 'rebate', 'shopee', 'purchases', 'fee', 'waiver', 'problem']","['go', 'card', 'mainly', 'used', 'card', 'get', 'rebate', 'shopee', 'purchase', 'fee', 'waiver', 'problem']",3
UOB One Card,"I personally use the one card and one account together. I felt that UOB apps is the easiest to use among all. You can also set notification transaction limit for 0.01 so that you're aware of any transaction that is deducted from your card. As for bill payment wise I can easily pay on my apps from my one account. Comparing one account and other accounts that has the similar benefits, one account I just have to spend minimum $500, 3 giro which was easy since there's no minimum spending for the giro, as long as is monthly or salary crediting. There's additional cash rebates earn if you use it on Simply go, Grab, Shopee, SP Bills, which I dont find it difficult to do so since I'm a user of those.
[Card Hacks]
[Promotions and Perks]
[Bill Payment]
[Others]",i personally use the one card and one account together i felt that uob apps is the easiest to use among all you can also set notification transaction limit for 001 so that youre aware of any transaction that is deducted from your card as for bill payment wise i can easily pay on my apps from my one account comparing one account and other accounts that has the similar benefits one account i just have to spend minimum 500 3 giro which was easy since theres no minimum spending for the giro as long as is monthly or salary crediting theres additional cash rebates earn if you use it on simply go grab shopee sp bills which i dont find it difficult to do so since im a user of those card hacks promotions and perks bill payment others,Cashback,"['i', 'personally', 'use', 'the', 'one', 'card', 'and', 'one', 'account', 'together', 'i', 'felt', 'that', 'uob', 'apps', 'is', 'the', 'easiest', 'to', 'use', 'among', 'all', 'you', 'can', 'also', 'set', 'notification', 'transaction', 'limit', 'for', '001', 'so', 'that', 'youre', 'aware', 'of', 'any', 'transaction', 'that', 'is', 'deducted', 'from', 'your', 'card', 'as', 'for', 'bill', 'payment', 'wise', 'i', 'can', 'easily', 'pay', 'on', 'my', 'apps', 'from', 'my', 'one', 'account', 'comparing', 'one', 'account', 'and', 'other', 'accounts', 'that', 'has', 'the', 'similar', 'benefits', 'one', 'account', 'i', 'just', 'have', 'to', 'spend', 'minimum', '500', '3', 'giro', 'which', 'was', 'easy', 'since', 'theres', 'no', 'minimum', 'spending', 'for', 'the', 'giro', 'as', 'long', 'as', 'is', 'monthly', 'or', 'salary', 'crediting', 'theres', 'additional', 'cash', 'rebates', 'earn', 'if', 'you', 'use', 'it', 'on', 'simply', 'go', 'grab', 'shopee', 'sp', 'bills', 'which', 'i', 'dont', 'find', 'it', 'difficult', 'to', 'do', 'so', 'since', 'im', 'a', 'user', 'of', 'those', 'card', 'hacks', 'promotions', 'and', 'perks', 'bill', 'payment', 'others']","['personally', 'use', 'one', 'card', 'one', 'account', 'together', 'felt', 'uob', 'apps', 'easiest', 'use', 'among', 'also', 'set', 'notification', 'transaction', 'limit', '001', 'youre', 'aware', 'transaction', 'deducted', 'card', 'bill', 'payment', 'wise', 'easily', 'pay', 'apps', 'one', 'account', 'comparing', 'one', 'account', 'accounts', 'similar', 'benefits', 'one', 'account', 'spend', 'minimum', '500', '3', 'giro', 'easy', 'since', 'theres', 'minimum', 'spending', 'giro', 'long', 'monthly', 'salary', 'crediting', 'theres', 'additional', 'cash', 'rebates', 'earn', 'use', 'simply', 'go', 'grab', 'shopee', 'sp', 'bills', 'dont', 'find', 'difficult', 'since', 'im', 'user', 'card', 'hacks', 'promotions', 'perks', 'bill', 'payment', 'others']","['personally', 'use', 'one', 'card', 'one', 'account', 'together', 'felt', 'uob', 'apps', 'easiest', 'use', 'among', 'also', 'set', 'notification', 'transaction', 'limit', '001', 'youre', 'aware', 'transaction', 'deducted', 'card', 'bill', 'payment', 'wise', 'easily', 'pay', 'apps', 'one', 'account', 'comparing', 'one', 'account', 'account', 'similar', 'benefit', 'one', 'account', 'spend', 'minimum', '500', '3', 'giro', 'easy', 'since', 'there', 'minimum', 'spending', 'giro', 'long', 'monthly', 'salary', 'crediting', 'there', 'additional', 'cash', 'rebate', 'earn', 'use', 'simply', 'go', 'grab', 'shopee', 'sp', 'bill', 'dont', 'find', 'difficult', 'since', 'im', 'user', 'card', 'hack', 'promotion', 'perk', 'bill', 'payment', 'others']",4
UOB One Card,"good for cashback, not too happy with the recent revisions in terms and conditions, but i guess this is inevitable.",good for cashback not too happy with the recent revisions in terms and conditions but i guess this is inevitable,Cashback,"['good', 'for', 'cashback', 'not', 'too', 'happy', 'with', 'the', 'recent', 'revisions', 'in', 'terms', 'and', 'conditions', 'but', 'i', 'guess', 'this', 'is', 'inevitable']","['good', 'cashback', 'happy', 'recent', 'revisions', 'terms', 'conditions', 'guess', 'inevitable']","['good', 'cashback', 'happy', 'recent', 'revision', 'term', 'condition', 'guess', 'inevitable']",3
UOB One Card,UOB One offers one of the best cash rebates programme. Simply spend $500 to every quarter to be eligible for $50 cashback!,uob one offers one of the best cash rebates programme simply spend 500 to every quarter to be eligible for 50 cashback,Cashback,"['uob', 'one', 'offers', 'one', 'of', 'the', 'best', 'cash', 'rebates', 'programme', 'simply', 'spend', '500', 'to', 'every', 'quarter', 'to', 'be', 'eligible', 'for', '50', 'cashback']","['uob', 'one', 'offers', 'one', 'best', 'cash', 'rebates', 'programme', 'simply', 'spend', '500', 'every', 'quarter', 'eligible', '50', 'cashback']","['uob', 'one', 'offer', 'one', 'best', 'cash', 'rebate', 'programme', 'simply', 'spend', '500', 'every', 'quarter', 'eligible', '50', 'cashback']",5
UOB One Card,Used this card for cash back needs. Its good when pairing with other apps to further stack your rewards. Easy to obtain fee waiver as well.,used this card for cash back needs its good when pairing with other apps to further stack your rewards easy to obtain fee waiver as well,Cashback,"['used', 'this', 'card', 'for', 'cash', 'back', 'needs', 'its', 'good', 'when', 'pairing', 'with', 'other', 'apps', 'to', 'further', 'stack', 'your', 'rewards', 'easy', 'to', 'obtain', 'fee', 'waiver', 'as', 'well']","['used', 'card', 'cash', 'back', 'needs', 'good', 'pairing', 'apps', 'stack', 'rewards', 'easy', 'obtain', 'fee', 'waiver', 'well']","['used', 'card', 'cash', 'back', 'need', 'good', 'pairing', 'apps', 'stack', 'reward', 'easy', 'obtain', 'fee', 'waiver', 'well']",4
